,Unnamed: 0,EmployeeID,Department,Age,Gender,Education,ExperienceYears,RemoteWork,HoursPerWeek,PerformanceScore,Absences,ProjectsCompleted,Satisfaction
44,44,E0045,Marketing,26,Female,Bachelor,4,0,30,86,2,1,7
45,45,E0046,Finance,33,Male,Bachelor,34,1,37,59,9,5,8
46,46,E0047,Support,37,Other,Master,33,0,48,89,7,5,1
47,47,E0048,Finance,47,Other,Bachelor,32,1,35,56,9,8,5
48,48,E0049,Sales,47,Other,Master,20,1,32,88,0,7,3
49,49,E0050,Marketing,42,Male,Master,16,1,34,87,1,8,1
50,50,E0051,HR,57,Male,High School,21,0,42,70,1,6,3
51,51,E0052,Marketing,54,Male,Bachelor,14,0,44,69,2,6,6
52,52,E0053,Support,51,Male,Master,34,1,43,52,5,2,7
53,53,E0054,HR,58,Other,Master,27,0,45,71,0,6,8
54,54,E0055,Sales,44,Other,Bachelor,6,1,47,96,1,5,4
55,55,E0056,Support,31,Female,Bachelor,31,1,40,53,0,3,3
56,56,E0057,IT,26,Female,Bachelor,10,1,32,77,4,6,5
57,57,E0058,Finance,57,Male,PhD,9,0,39,61,6,8,9
58,58,E0059,Sales,55,Other,Bachelor,8,0,39,87,7,9,6
59,59,E0060,Finance,52,Other,Master,13,1,45,85,9,1,9
60,60,E0061,Operations,31,Other,Bachelor,12,1,41,96,0,3,6
61,61,E0062,IT,40,Female,Bachelor,24,1,31,90,6,3,2
62,62,E0063,IT,53,Female,Bachelor,1,1,38,54,4,8,5
63,63,E0064,Sales,22,Other,Bachelor,34,1,32,62,9,1,9
64,64,E0065,IT,26,Other,Bachelor,6,0,44,72,0,5,8
65,65,E0066,HR,25,Other,Bachelor,20,1,32,99,2,3,7
66,66,E0067,IT,37,Female,Bachelor,17,1,48,79,6,2,1
67,67,E0068,Finance,45,Other,Master,2,1,47,86,9,8,4
68,68,E0069,Finance,37,Other,Bachelor,10,0,37,74,0,3,7
69,69,E0070,Support,23,Male,High School,23,0,46,97,6,7,7
70,70,E0071,Finance,49,Male,PhD,18,1,37,76,4,1,6
71,71,E0072,Support,53,Female,Master,3,0,36,63,0,6,8
72,72,E0073,Finance,48,Other,Master,25,1,36,97,0,3,6
73,73,E0074,HR,41,Other,PhD,31,1,32,96,0,8,3
74,74,E0075,Support,45,Male,Bachelor,32,1,30,85,8,6,4
75,75,E0076,Marketing,33,Female,Bachelor,2,1,33,88,2,2,3
76,76,E0077,Operations,56,Male,Master,8,1,34,65,4,6,1
77,77,E0078,Sales,54,Male,Master,7,0,30,71,9,7,5
78,78,E0079,Finance,54,Male,Bachelor,32,0,44,70,8,5,1
79,79,E0080,IT,58,Male,Master,5,0,34,70,5,3,1
80,80,E0081,Finance,33,Other,Bachelor,3,1,42,57,8,4,2
81,81,E0082,IT,24,Other,Bachelor,12,1,37,98,7,4,4
82,82,E0083,Operations,22,Male,Bachelor,1,0,37,65,7,6,6
83,83,E0084,Operations,54,Female,Bachelor,4,1,34,80,0,1,8
84,84,E0085,Operations,31,Female,Bachelor,26,1,38,91,8,4,3
85,85,E0086,IT,50,Female,High School,31,1,30,59,5,4,1
86,86,E0087,Finance,34,Female,Master,20,0,33,81,8,1,3
87,87,E0088,Operations,33,Male,Bachelor,7,1,32,83,2,9,3
88,88,E0089,HR,52,Other,Bachelor,7,1,31,58,2,4,5
89,89,E0090,Support,23,Female,Master,2,0,37,66,5,7,4
90,90,E0091,IT,56,Male,PhD,2,1,38,60,8,3,4
91,91,E0092,IT,44,Female,Master,21,1,31,81,6,3,9
92,92,E0093,Finance,38,Female,Master,5,1,43,59,2,8,7
93,93,E0094,IT,47,Male,Master,1,1,43,71,2,8,4
94,94,E0095,IT,29,Other,Bachelor,22,0,33,66,1,1,3
95,95,E0096,Operations,50,Other,High School,1,1,35,53,8,2,6
96,96,E0097,Finance,47,Male,Bachelor,16,1,40,97,2,8,3
97,97,E0098,Operations,31,Other,Bachelor,34,0,32,96,4,1,6
98,98,E0099,Support,47,Male,Bachelor,33,0,37,74,8,8,9
99,99,E0100,Support,55,Male,Master,22,0,32,70,7,8,6
100,100,E0101,Operations,28,Male,Bachelor,29,1,43,86,1,2,4
101,101,E0102,Support,25,Other,High School,7,1,42,87,2,4,5
102,102,E0103,Finance,32,Male,Bachelor,21,0,42,98,1,6,6
103,103,E0104,Sales,50,Female,Master,4,0,31,50,7,9,3
104,104,E0105,Operations,57,Other,High School,12,1,42,74,5,8,8
105,105,E0106,HR,46,Other,Master,28,1,48,85,5,8,4
106,106,E0107,HR,42,Other,Bachelor,30,1,35,66,8,7,8
107,107,E0108,IT,57,Other,Bachelor,15,0,45,90,7,9,3
108,108,E0109,Support,31,Female,Bachelor,29,1,31,73,3,2,7
109,109,E0110,HR,58,Other,Master,15,1,37,51,3,3,9
110,110,E0111,IT,30,Other,Bachelor,11,1,46,89,8,8,4
111,111,E0112,Sales,45,Male,Master,16,0,31,64,0,6,8
112,112,E0113,Finance,56,Other,Bachelor,15,0,39,81,1,9,3
113,113,E0114,Finance,56,Female,Bachelor,11,1,45,88,1,4,7
114,114,E0115,Finance,57,Female,Master,7,0,35,55,5,8,3
115,115,E0116,HR,39,Female,Master,19,0,31,50,3,3,7
116,116,E0117,Sales,53,Female,Master,2,1,31,96,9,3,6
117,117,E0118,HR,45,Other,Master,15,1,42,72,2,8,2
118,118,E0119,Support,44,Other,Master,29,1,44,88,2,5,3
119,119,E0120,HR,53,Female,Master,22,0,31,66,2,3,6
120,120,E0121,Sales,58,Female,Master,27,1,36,83,5,1,4
121,121,E0122,Sales,33,Other,Master,4,0,32,90,7,3,6
122,122,E0123,Support,34,Female,Master,19,0,37,78,6,9,1
123,123,E0124,Sales,44,Male,Bachelor,0,1,43,58,3,5,1
124,124,E0125,Sales,46,Female,Master,29,0,36,62,3,2,3
125,125,E0126,Finance,56,Female,Bachelor,20,1,36,55,9,7,8
126,126,E0127,Support,51,Male,Master,19,1,30,55,1,2,8
127,127,E0128,Marketing,38,Male,Master,5,0,46,69,0,4,4
128,128,E0129,Marketing,41,Other,High School,21,0,38,52,8,7,6
129,129,E0130,Sales,46,Other,Master,17,1,42,66,1,4,8
130,130,E0131,Marketing,43,Male,Bachelor,7,0,48,98,7,7,7
131,131,E0132,Marketing,34,Male,Bachelor,31,0,48,61,8,7,7
132,132,E0133,Sales,40,Other,Master,32,1,46,97,3,1,4
133,133,E0134,Marketing,57,Female,Bachelor,15,0,39,96,7,6,9
134,134,E0135,HR,33,Male,Master,11,1,39,94,8,9,6
135,135,E0136,IT,40,Other,Master,33,1,33,50,9,2,3
136,136,E0137,Support,33,Female,Bachelor,13,1,37,66,9,3,5
137,137,E0138,IT,30,Male,High School,32,0,49,52,4,5,5
138,138,E0139,Sales,28,Female,Bachelor,22,0,49,75,6,9,5
139,139,E0140,Finance,49,Other,Bachelor,1,1,47,64,9,4,8
140,140,E0141,Support,35,Male,PhD,20,1,43,85,3,1,9
141,141,E0142,Sales,52,Female,Bachelor,1,0,47,81,0,4,9
142,142,E0143,Finance,40,Male,Bachelor,26,1,43,81,2,6,6
143,143,E0144,IT,37,Female,Bachelor,8,0,49,53,4,5,6
144,144,E0145,Sales,26,Other,Bachelor,0,0,44,67,2,1,9
145,145,E0146,Support,56,Other,Master,10,1,33,98,6,4,4
146,146,E0147,Support,33,Male,Bachelor,2,0,42,68,8,6,6
147,147,E0148,Operations,46,Female,Master,22,1,37,92,5,4,4
148,148,E0149,HR,42,Male,Bachelor,25,0,47,84,9,9,1
149,149,E0150,Marketing,57,Male,PhD,3,0,41,89,0,5,7
150,150,E0151,Finance,44,Female,Bachelor,17,0,43,63,6,8,6
151,151,E0152,Operations,37,Female,Bachelor,5,1,31,82,2,9,9
152,152,E0153,Marketing,35,Female,Master,34,0,47,63,4,5,7
153,153,E0154,Marketing,52,Other,Bachelor,21,1,31,83,9,6,7
154,154,E0155,Sales,26,Male,Master,14,1,40,53,3,1,2
155,155,E0156,Marketing,56,Male,Master,21,1,38,73,9,7,9
156,156,E0157,HR,44,Other,High School,11,1,41,78,4,4,9
157,157,E0158,Support,50,Female,Bachelor,17,1,46,68,4,2,6
158,158,E0159,Operations,32,Other,Master,34,0,44,55,5,5,3
159,159,E0160,Marketing,39,Other,High School,29,0,46,82,9,3,1
160,160,E0161,Sales,33,Other,Bachelor,23,1,47,98,9,6,4
161,161,E0162,HR,30,Male,Bachelor,29,0,35,89,5,8,3
162,162,E0163,IT,31,Other,Bachelor,13,1,46,68,7,7,1
163,163,E0164,Support,38,Male,High School,5,0,47,50,7,3,3
164,164,E0165,Support,59,Male,Master,2,0,37,54,8,8,4
165,165,E0166,Operations,28,Male,PhD,15,1,38,76,7,2,8
166,166,E0167,Support,34,Female,PhD,6,0,35,65,1,9,9
167,167,E0168,Marketing,30,Male,Master,13,1,34,55,9,4,3
168,168,E0169,Sales,48,Male,Bachelor,8,1,41,89,0,1,6
169,169,E0170,Support,23,Female,Master,14,0,40,62,9,8,5
170,170,E0171,Support,26,Male,High School,20,1,30,97,1,7,6
171,171,E0172,IT,50,Other,High School,34,1,40,84,1,5,4
172,172,E0173,IT,58,Other,Bachelor,1,1,48,68,2,5,6
173,173,E0174,Finance,59,Male,Bachelor,26,0,38,61,9,7,7
174,174,E0175,HR,40,Female,Master,1,1,31,65,6,5,9
175,175,E0176,Marketing,29,Other,Master,34,1,41,92,1,8,7
176,176,E0177,Support,22,Female,Bachelor,17,0,33,59,0,6,6
177,177,E0178,Support,43,Female,Bachelor,13,0,33,74,5,5,1
178,178,E0179,Sales,38,Other,PhD,19,1,47,69,8,9,2
179,179,E0180,Finance,28,Female,Bachelor,17,1,44,80,2,2,1
180,180,E0181,HR,46,Other,Bachelor,9,1,48,53,5,1,9
181,181,E0182,Finance,25,Female,Bachelor,24,1,42,93,2,8,9
182,182,E0183,Operations,57,Other,Master,1,1,48,72,0,3,7
183,183,E0184,HR,27,Male,Master,24,0,46,51,4,7,2
184,184,E0185,Support,52,Other,Bachelor,32,0,35,71,9,8,6
185,185,E0186,Support,40,Other,High School,30,0,45,86,3,6,4
186,186,E0187,HR,48,Other,Master,13,1,41,57,6,9,1
187,187,E0188,Support,31,Other,Master,0,0,48,56,5,7,1
188,188,E0189,Marketing,47,Female,Bachelor,15,1,34,63,9,5,5
189,189,E0190,HR,40,Male,PhD,2,0,46,52,6,8,2
190,190,E0191,Finance,24,Other,Bachelor,34,0,30,99,4,2,4
191,191,E0192,HR,34,Female,Bachelor,5,1,39,65,3,7,1
192,192,E0193,Support,49,Male,Master,24,0,44,68,6,4,4
193,193,E0194,Marketing,41,Male,Bachelor,12,1,40,67,6,9,6
194,194,E0195,Marketing,49,Male,Bachelor,33,0,42,65,5,1,4
195,195,E0196,Operations,29,Male,Bachelor,7,1,34,57,7,7,1
196,196,E0197,Finance,22,Other,Bachelor,20,1,30,82,3,6,7
197,197,E0198,IT,24,Other,PhD,33,0,41,98,9,8,2
198,198,E0199,IT,34,Female,Bachelor,3,1,40,61,4,5,9
199,199,E0200,HR,49,Female,Master,24,0,46,60,3,1,3
200,200,E0201,Operations,46,Female,Bachelor,14,1,33,54,0,1,8
201,201,E0202,Sales,54,Male,Bachelor,3,0,44,76,7,9,8
202,202,E0203,HR,59,Male,High School,11,0,38,61,0,6,3
203,203,E0204,Operations,27,Other,Master,31,1,49,66,4,5,4
204,204,E0205,Finance,53,Male,Bachelor,31,1,48,55,5,1,2
205,205,E0206,Finance,42,Male,Master,27,1,48,82,5,6,4
206,206,E0207,Finance,37,Male,Bachelor,12,1,41,54,4,6,9
207,207,E0208,Finance,42,Female,PhD,30,1,34,77,2,3,2
208,208,E0209,Finance,32,Female,Bachelor,13,0,39,63,4,8,3
209,209,E0210,Operations,58,Other,Master,19,0,46,54,7,1,4
210,210,E0211,Operations,57,Male,Master,17,0,34,82,1,1,5
211,211,E0212,Marketing,56,Male,Master,28,0,45,99,5,6,1
212,212,E0213,IT,40,Other,Master,5,0,36,97,8,1,7
213,213,E0214,Support,41,Male,Master,31,0,38,90,7,6,7
214,214,E0215,Finance,39,Male,Bachelor,28,1,32,68,7,1,9
215,215,E0216,Sales,35,Female,Bachelor,1,0,44,71,7,6,4
216,216,E0217,Support,36,Other,High School,22,0,45,54,6,3,6
217,217,E0218,Operations,52,Other,Master,18,1,47,51,7,8,2
218,218,E0219,Sales,22,Other,Bachelor,30,1,43,79,5,6,4
219,219,E0220,Sales,24,Other,Master,4,1,32,96,1,1,2
220,220,E0221,Sales,37,Female,Bachelor,18,1,41,88,1,5,5
221,221,E0222,Marketing,44,Female,Bachelor,33,0,38,53,7,8,7
222,222,E0223,Operations,32,Male,Bachelor,9,1,36,82,0,3,1
223,223,E0224,Sales,33,Male,Master,24,1,38,62,5,6,7
224,224,E0225,Finance,31,Male,Bachelor,1,0,42,69,5,5,6
225,225,E0226,HR,53,Male,Bachelor,10,1,47,56,3,6,6
226,226,E0227,Sales,37,Female,Bachelor,30,1,34,64,9,1,8
227,227,E0228,Marketing,29,Other,High School,14,1,42,72,2,7,8
228,228,E0229,Support,59,Female,Bachelor,8,0,33,63,2,9,6
229,229,E0230,Operations,33,Male,Bachelor,22,0,31,72,0,2,3
230,230,E0231,Marketing,45,Female,Master,18,1,45,68,2,5,5
231,231,E0232,Sales,49,Other,Bachelor,8,0,38,78,3,4,2
232,232,E0233,Operations,29,Other,Bachelor,34,1,38,69,4,6,5
233,233,E0234,HR,49,Female,High School,20,0,35,78,2,6,9
234,234,E0235,Sales,57,Female,High School,8,0,40,73,5,2,1
235,235,E0236,Marketing,47,Female,Bachelor,27,0,30,67,4,2,5
236,236,E0237,IT,29,Male,Bachelor,6,1,33,59,2,4,6
237,237,E0238,Finance,49,Female,Bachelor,15,0,42,90,5,1,7
238,238,E0239,Support,49,Female,Bachelor,15,0,42,57,5,9,9
239,239,E0240,Marketing,58,Female,Master,32,1,42,75,7,7,6
240,240,E0241,Operations,57,Other,Master,3,0,31,78,1,7,5
241,241,E0242,Sales,48,Other,Master,3,1,38,59,0,3,7
242,242,E0243,Finance,38,Male,High School,16,0,37,66,3,3,1
243,243,E0244,Sales,30,Male,Bachelor,28,1,36,51,6,1,5
244,244,E0245,Operations,54,Other,Bachelor,34,0,33,55,9,3,2
245,245,E0246,Sales,41,Other,Bachelor,6,1,47,54,2,3,4
246,246,E0247,IT,34,Other,PhD,26,1,32,77,2,4,7
247,247,E0248,Finance,49,Female,Bachelor,27,1,35,90,4,4,5
248,248,E0249,Finance,50,Female,Bachelor,21,1,41,54,4,3,6
249,249,E0250,Operations,34,Other,Bachelor,13,1,41,67,9,8,2
250,250,E0251,Support,56,Female,Master,6,1,37,75,2,8,3
251,251,E0252,IT,27,Female,Bachelor,21,1,30,69,8,1,7
252,252,E0253,Marketing,39,Male,High School,4,1,33,90,3,7,2
253,253,E0254,Sales,26,Other,Bachelor,1,1,40,98,2,2,6
254,254,E0255,HR,46,Other,Bachelor,26,0,32,76,1,1,5
255,255,E0256,Sales,23,Female,High School,20,1,42,98,9,3,1
256,256,E0257,Sales,31,Other,Bachelor,14,0,46,61,8,4,4
257,257,E0258,Marketing,51,Male,High School,20,0,39,56,3,6,2
258,258,E0259,Sales,26,Male,High School,9,0,41,52,2,5,4
259,259,E0260,IT,54,Male,Bachelor,22,1,44,59,6,4,1
260,260,E0261,IT,22,Other,Bachelor,4,0,39,83,7,8,2
261,261,E0262,Finance,39,Other,Bachelor,0,1,43,74,1,4,8
262,262,E0263,Operations,53,Other,Master,12,1,42,84,6,2,6
263,263,E0264,Support,32,Other,Master,20,1,34,65,4,3,2
264,264,E0265,HR,42,Other,Bachelor,25,0,35,51,4,6,6
265,265,E0266,Sales,47,Male,Bachelor,20,1,31,73,2,8,9
266,266,E0267,Sales,46,Female,Bachelor,17,1,46,59,4,8,7
267,267,E0268,Marketing,43,Male,Bachelor,31,0,33,87,1,9,9
268,268,E0269,Operations,48,Other,Master,16,0,43,71,3,7,5
269,269,E0270,IT,34,Male,High School,34,1,39,75,5,2,7
270,270,E0271,HR,54,Other,Master,10,1,32,92,0,8,7
271,271,E0272,Finance,55,Other,High School,20,0,32,88,9,7,3
272,272,E0273,IT,56,Male,Bachelor,25,1,44,76,3,8,7
273,273,E0274,Operations,22,Other,Master,3,1,35,78,5,3,1
274,274,E0275,Support,42,Female,Master,33,1,46,96,8,7,9
275,275,E0276,Finance,27,Other,Master,17,0,41,87,1,9,6
276,276,E0277,Support,49,Female,Master,34,0,49,69,6,3,5
277,277,E0278,Marketing,38,Female,Bachelor,28,0,40,76,5,6,7
278,278,E0279,Marketing,26,Other,Master,28,0,33,90,1,2,5
279,279,E0280,Sales,52,Male,High School,20,1,35,69,7,2,5
280,280,E0281,Support,26,Female,Master,12,1,30,93,6,5,7
281,281,E0282,Operations,59,Male,Bachelor,16,1,49,68,4,5,7
282,282,E0283,HR,24,Female,Master,8,1,45,69,4,7,3
283,283,E0284,Finance,44,Other,Bachelor,0,1,44,84,6,2,3
284,284,E0285,IT,58,Other,Bachelor,1,0,46,96,8,7,3
285,285,E0286,Operations,58,Female,Bachelor,28,0,37,51,8,5,6
286,286,E0287,Operations,31,Other,Master,32,0,41,79,8,6,6
287,287,E0288,Marketing,31,Female,High School,9,1,39,83,5,8,3
288,288,E0289,Support,40,Other,High School,20,0,44,71,9,4,3
289,289,E0290,Sales,38,Male,Bachelor,27,0,38,52,5,7,8
290,290,E0291,Sales,42,Other,Bachelor,10,1,31,55,2,6,8
291,291,E0292,Finance,35,Male,Master,33,0,34,64,0,2,7
292,292,E0293,Marketing,30,Other,Bachelor,7,1,35,76,6,8,4
293,293,E0294,Operations,22,Male,PhD,21,1,36,59,3,9,4
294,294,E0295,HR,34,Other,Bachelor,7,1,30,58,0,5,3
295,295,E0296,Marketing,25,Male,Bachelor,14,1,36,82,7,4,5
296,296,E0297,Finance,22,Female,Master,16,1,49,81,5,6,3
297,297,E0298,Finance,53,Female,Master,22,0,41,97,5,8,8
298,298,E0299,Marketing,55,Male,Bachelor,23,0,45,55,1,3,7
299,299,E0300,Finance,49,Other,Bachelor,18,0,45,90,0,1,3
300,300,E0301,Marketing,52,Male,Master,4,0,40,85,1,4,9
301,301,E0302,IT,29,Other,Bachelor,31,1,33,51,3,4,5
302,302,E0303,Marketing,47,Female,PhD,0,0,42,78,1,1,9
303,303,E0304,Support,55,Other,PhD,22,1,36,53,0,9,7
304,304,E0305,Marketing,24,Female,Master,7,1,33,50,6,3,7
305,305,E0306,Finance,33,Other,Bachelor,12,1,44,68,7,5,6
306,306,E0307,Support,22,Other,Master,7,1,48,75,5,6,2
307,307,E0308,Finance,26,Other,High School,22,1,38,74,3,8,9
308,308,E0309,Sales,51,Male,High School,0,1,40,59,5,6,6
309,309,E0310,Sales,51,Male,Bachelor,23,1,37,64,2,3,8
310,310,E0311,Support,38,Female,Bachelor,34,0,30,71,7,6,1
311,311,E0312,IT,44,Female,Master,23,1,37,97,9,1,5
312,312,E0313,Sales,36,Male,Master,16,1,42,70,1,4,1
313,313,E0314,Marketing,58,Female,Master,4,1,33,71,4,6,8
314,314,E0315,Finance,42,Male,Bachelor,19,0,37,85,0,7,8
315,315,E0316,Sales,35,Other,Bachelor,20,1,32,83,5,3,1
316,316,E0317,Sales,23,Female,Bachelor,30,1,38,79,1,9,9
317,317,E0318,IT,32,Female,PhD,10,1,31,74,3,7,2
318,318,E0319,Support,59,Male,High School,14,1,31,94,5,1,9
319,319,E0320,Support,55,Female,Master,18,1,42,77,9,2,1
320,320,E0321,Operations,59,Female,Bachelor,6,1,44,50,7,1,9
321,321,E0322,IT,55,Other,Bachelor,27,1,41,98,7,9,4
322,322,E0323,Marketing,39,Female,Master,4,1,33,94,5,9,9
323,323,E0324,Support,51,Other,Bachelor,4,1,37,53,3,7,7
324,324,E0325,Finance,36,Male,Master,29,0,38,56,7,3,6
325,325,E0326,IT,48,Female,Master,31,1,34,98,7,5,5
326,326,E0327,Sales,55,Other,Bachelor,7,1,49,58,9,4,9
327,327,E0328,Finance,59,Male,Bachelor,9,1,47,85,0,7,2
328,328,E0329,Finance,54,Female,Bachelor,31,0,40,68,3,9,2
329,329,E0330,Sales,45,Male,Master,27,1,44,50,3,2,9
330,330,E0331,IT,36,Female,Bachelor,16,1,38,59,6,8,3
331,331,E0332,Sales,51,Male,Bachelor,30,0,46,85,6,9,8
332,332,E0333,Operations,38,Male,Bachelor,7,1,41,58,7,9,9
333,333,E0334,Finance,26,Other,Master,24,1,36,94,4,7,8
334,334,E0335,HR,50,Male,Bachelor,8,1,39,95,6,9,4
335,335,E0336,HR,25,Female,Master,1,0,39,91,7,9,1
336,336,E0337,Marketing,31,Female,Master,14,1,42,81,8,3,4
337,337,E0338,Support,38,Other,Bachelor,2,0,48,81,2,4,9
338,338,E0339,Sales,31,Female,Bachelor,3,0,40,55,2,2,2
339,339,E0340,Sales,38,Female,PhD,13,1,42,97,3,3,3
340,340,E0341,Marketing,41,Female,Bachelor,24,1,37,87,4,5,8
341,341,E0342,Marketing,45,Male,Master,9,1,37,66,9,5,6
342,342,E0343,Marketing,26,Male,Bachelor,20,1,33,59,0,6,8
343,343,E0344,Finance,55,Female,Bachelor,11,1,44,99,6,7,7
344,344,E0345,Operations,27,Other,Master,26,0,40,76,8,7,5
345,345,E0346,Sales,23,Male,Bachelor,1,0,40,99,7,1,9
346,346,E0347,Finance,34,Other,Bachelor,12,0,30,84,4,2,4
347,347,E0348,Marketing,32,Female,Bachelor,31,1,46,70,3,9,6
348,348,E0349,Sales,44,Female,Bachelor,30,0,44,74,6,2,2
349,349,E0350,Finance,37,Male,Bachelor,15,0,49,77,4,6,2
350,350,E0351,Operations,52,Female,Bachelor,31,0,35,96,6,1,2
351,351,E0352,Finance,32,Male,PhD,31,1,44,64,0,3,7
352,352,E0353,Operations,37,Female,Bachelor,33,0,38,53,0,2,2
353,353,E0354,Marketing,29,Female,Master,10,1,43,78,9,3,2
354,354,E0355,Operations,25,Male,Bachelor,9,1,47,58,2,5,9
355,355,E0356,Sales,25,Male,Master,14,1,46,76,1,6,7
356,356,E0357,Marketing,46,Male,Bachelor,16,0,47,75,1,9,3
357,357,E0358,Sales,24,Female,PhD,17,0,34,68,6,4,3
358,358,E0359,HR,53,Female,Bachelor,8,1,49,77,9,7,7
359,359,E0360,IT,24,Other,Bachelor,24,1,49,66,1,6,5
360,360,E0361,Operations,48,Male,High School,13,1,38,92,3,2,6
361,361,E0362,IT,50,Female,Bachelor,24,1,40,90,1,8,8
362,362,E0363,IT,53,Female,Bachelor,21,1,30,91,5,7,9
363,363,E0364,Operations,40,Male,Bachelor,29,1,47,99,7,7,1
364,364,E0365,Marketing,42,Other,Master,19,0,35,69,9,8,3
365,365,E0366,HR,26,Male,Bachelor,20,1,31,94,3,1,7
366,366,E0367,Sales,39,Other,Bachelor,31,1,44,89,4,1,6
367,367,E0368,Finance,49,Female,Bachelor,20,1,43,88,3,8,7
368,368,E0369,Sales,43,Other,Master,34,0,34,98,2,4,8
369,369,E0370,Finance,42,Female,Bachelor,31,0,35,72,4,5,6
370,370,E0371,Sales,27,Male,Bachelor,29,0,35,96,8,8,3
371,371,E0372,Operations,22,Male,High School,11,1,47,81,7,5,2
372,372,E0373,HR,26,Male,Master,17,1,43,96,7,4,7
373,373,E0374,Finance,33,Other,Master,20,1,39,82,7,6,1
374,374,E0375,Support,47,Female,Bachelor,12,0,43,95,7,5,3
375,375,E0376,Marketing,55,Male,Master,20,0,42,54,6,7,4
376,376,E0377,Sales,35,Male,Master,7,0,32,92,7,7,1
377,377,E0378,Sales,47,Female,Bachelor,6,0,35,97,7,4,5
378,378,E0379,Finance,48,Male,Master,22,0,37,83,7,5,3
379,379,E0380,Marketing,30,Female,Bachelor,31,1,41,89,9,3,2
380,380,E0381,Marketing,47,Female,Bachelor,10,0,42,60,6,4,3
381,381,E0382,Operations,43,Female,Bachelor,21,1,40,99,0,4,8
382,382,E0383,Support,51,Female,High School,21,1,41,52,3,3,6
383,383,E0384,Operations,38,Female,Bachelor,24,1,30,82,3,5,7
384,384,E0385,Operations,47,Other,Master,21,1,46,60,4,5,6
385,385,E0386,Operations,57,Male,High School,27,1,45,65,9,7,6
386,386,E0387,Operations,22,Other,Bachelor,28,1,40,67,5,4,3
387,387,E0388,Operations,29,Male,Bachelor,12,1,42,79,3,4,8
388,388,E0389,HR,56,Other,Master,17,1,47,97,1,9,7
389,389,E0390,Marketing,36,Female,Bachelor,1,1,40,59,5,6,7
