,EmployeeID,Department,Age,Gender,Education,ExperienceYears,RemoteWork,HoursPerWeek,PerformanceScore,Absences,ProjectsCompleted,Satisfaction
181,E0182,Finance,25,Female,Bachelor,24,Yes,42,93,2,8,9
182,E0183,Operations,57,Other,Master,1,Yes,48,72,0,3,7
183,E0184,HR,27,Male,Master,24,No,46,51,4,7,2
184,E0185,Support,52,Other,Bachelor,32,No,35,71,9,8,6
185,E0186,Support,40,Other,High School,30,No,45,86,3,6,4
186,E0187,HR,48,Other,Master,13,Yes,41,57,6,9,1
187,E0188,Support,31,Other,Master,0,No,48,56,5,7,1
188,E0189,Marketing,47,Female,Bachelor,15,Yes,34,63,9,5,5
189,E0190,HR,40,Male,PhD,2,No,46,52,6,8,2
190,E0191,Finance,24,Other,Bachelor,34,No,30,99,4,2,4
191,E0192,HR,34,Female,Bachelor,5,Yes,39,65,3,7,1
192,E0193,Support,49,Male,Master,24,No,44,68,6,4,4
193,E0194,Marketing,41,Male,Bachelor,12,Yes,40,67,6,9,6
194,E0195,Marketing,49,Male,Bachelor,33,No,42,65,5,1,4
195,E0196,Operations,29,Male,Bachelor,7,Yes,34,57,7,7,1
196,E0197,Finance,22,Other,Bachelor,20,Yes,30,82,3,6,7
197,E0198,IT,24,Other,PhD,33,No,41,98,9,8,2
198,E0199,IT,34,Female,Bachelor,3,Yes,40,61,4,5,9
199,E0200,HR,49,Female,Master,24,No,46,60,3,1,3
200,E0201,Operations,46,Female,Bachelor,14,Yes,33,54,0,1,8
201,E0202,Sales,54,Male,Bachelor,3,No,44,76,7,9,8
202,E0203,HR,59,Male,High School,11,No,38,61,0,6,3
203,E0204,Operations,27,Other,Master,31,Yes,49,66,4,5,4
204,E0205,Finance,53,Male,Bachelor,31,Yes,48,55,5,1,2
205,E0206,Finance,42,Male,Master,27,Yes,48,82,5,6,4
206,E0207,Finance,37,Male,Bachelor,12,Yes,41,54,4,6,9
207,E0208,Finance,42,Female,PhD,30,Yes,34,77,2,3,2
208,E0209,Finance,32,Female,Bachelor,13,No,39,63,4,8,3
209,E0210,Operations,58,Other,Master,19,No,46,54,7,1,4
210,E0211,Operations,57,Male,Master,17,No,34,82,1,1,5
211,E0212,Marketing,56,Male,Master,28,No,45,99,5,6,1
212,E0213,IT,40,Other,Master,5,No,36,97,8,1,7
213,E0214,Support,41,Male,Master,31,No,38,90,7,6,7
214,E0215,Finance,39,Male,Bachelor,28,Yes,32,68,7,1,9
215,E0216,Sales,35,Female,Bachelor,1,No,44,71,7,6,4
216,E0217,Support,36,Other,High School,22,No,45,54,6,3,6
217,E0218,Operations,52,Other,Master,18,Yes,47,51,7,8,2
218,E0219,Sales,22,Other,Bachelor,30,Yes,43,79,5,6,4
219,E0220,Sales,24,Other,Master,4,Yes,32,96,1,1,2
220,E0221,Sales,37,Female,Bachelor,18,Yes,41,88,1,5,5
221,E0222,Marketing,44,Female,Bachelor,33,No,38,53,7,8,7
222,E0223,Operations,32,Male,Bachelor,9,Yes,36,82,0,3,1
223,E0224,Sales,33,Male,Master,24,Yes,38,62,5,6,7
224,E0225,Finance,31,Male,Bachelor,1,No,42,69,5,5,6
225,E0226,HR,53,Male,Bachelor,10,Yes,47,56,3,6,6
226,E0227,Sales,37,Female,Bachelor,30,Yes,34,64,9,1,8
227,E0228,Marketing,29,Other,High School,14,Yes,42,72,2,7,8
228,E0229,Support,59,Female,Bachelor,8,No,33,63,2,9,6
229,E0230,Operations,33,Male,Bachelor,22,No,31,72,0,2,3
230,E0231,Marketing,45,Female,Master,18,Yes,45,68,2,5,5
231,E0232,Sales,49,Other,Bachelor,8,No,38,78,3,4,2
232,E0233,Operations,29,Other,Bachelor,34,Yes,38,69,4,6,5
233,E0234,HR,49,Female,High School,20,No,35,78,2,6,9
234,E0235,Sales,57,Female,High School,8,No,40,73,5,2,1
235,E0236,Marketing,47,Female,Bachelor,27,No,30,67,4,2,5
236,E0237,IT,29,Male,Bachelor,6,Yes,33,59,2,4,6
237,E0238,Finance,49,Female,Bachelor,15,No,42,90,5,1,7
238,E0239,Support,49,Female,Bachelor,15,No,42,57,5,9,9
239,E0240,Marketing,58,Female,Master,32,Yes,42,75,7,7,6
240,E0241,Operations,57,Other,Master,3,No,31,78,1,7,5
241,E0242,Sales,48,Other,Master,3,Yes,38,59,0,3,7
242,E0243,Finance,38,Male,High School,16,No,37,66,3,3,1
243,E0244,Sales,30,Male,Bachelor,28,Yes,36,51,6,1,5
244,E0245,Operations,54,Other,Bachelor,34,No,33,55,9,3,2
245,E0246,Sales,41,Other,Bachelor,6,Yes,47,54,2,3,4
246,E0247,IT,34,Other,PhD,26,Yes,32,77,2,4,7
247,E0248,Finance,49,Female,Bachelor,27,Yes,35,90,4,4,5
248,E0249,Finance,50,Female,Bachelor,21,Yes,41,54,4,3,6
249,E0250,Operations,34,Other,Bachelor,13,Yes,41,67,9,8,2
250,E0251,Support,56,Female,Master,6,Yes,37,75,2,8,3
251,E0252,IT,27,Female,Bachelor,21,Yes,30,69,8,1,7
252,E0253,Marketing,39,Male,High School,4,Yes,33,90,3,7,2
253,E0254,Sales,26,Other,Bachelor,1,Yes,40,98,2,2,6
254,E0255,HR,46,Other,Bachelor,26,No,32,76,1,1,5
255,E0256,Sales,23,Female,High School,20,Yes,42,98,9,3,1
256,E0257,Sales,31,Other,Bachelor,14,No,46,61,8,4,4
257,E0258,Marketing,51,Male,High School,20,No,39,56,3,6,2
258,E0259,Sales,26,Male,High School,9,No,41,52,2,5,4
259,E0260,IT,54,Male,Bachelor,22,Yes,44,59,6,4,1
260,E0261,IT,22,Other,Bachelor,4,No,39,83,7,8,2
261,E0262,Finance,39,Other,Bachelor,0,Yes,43,74,1,4,8
262,E0263,Operations,53,Other,Master,12,Yes,42,84,6,2,6
263,E0264,Support,32,Other,Master,20,Yes,34,65,4,3,2
264,E0265,HR,42,Other,Bachelor,25,No,35,51,4,6,6
265,E0266,Sales,47,Male,Bachelor,20,Yes,31,73,2,8,9
266,E0267,Sales,46,Female,Bachelor,17,Yes,46,59,4,8,7
267,E0268,Marketing,43,Male,Bachelor,31,No,33,87,1,9,9
268,E0269,Operations,48,Other,Master,16,No,43,71,3,7,5
269,E0270,IT,34,Male,High School,34,Yes,39,75,5,2,7
270,E0271,HR,54,Other,Master,10,Yes,32,92,0,8,7
271,E0272,Finance,55,Other,High School,20,No,32,88,9,7,3
272,E0273,IT,56,Male,Bachelor,25,Yes,44,76,3,8,7
273,E0274,Operations,22,Other,Master,3,Yes,35,78,5,3,1
274,E0275,Support,42,Female,Master,33,Yes,46,96,8,7,9
275,E0276,Finance,27,Other,Master,17,No,41,87,1,9,6
276,E0277,Support,49,Female,Master,34,No,49,69,6,3,5
277,E0278,Marketing,38,Female,Bachelor,28,No,40,76,5,6,7
278,E0279,Marketing,26,Other,Master,28,No,33,90,1,2,5
279,E0280,Sales,52,Male,High School,20,Yes,35,69,7,2,5
280,E0281,Support,26,Female,Master,12,Yes,30,93,6,5,7
281,E0282,Operations,59,Male,Bachelor,16,Yes,49,68,4,5,7
282,E0283,HR,24,Female,Master,8,Yes,45,69,4,7,3
283,E0284,Finance,44,Other,Bachelor,0,Yes,44,84,6,2,3
284,E0285,IT,58,Other,Bachelor,1,No,46,96,8,7,3
285,E0286,Operations,58,Female,Bachelor,28,No,37,51,8,5,6
286,E0287,Operations,31,Other,Master,32,No,41,79,8,6,6
287,E0288,Marketing,31,Female,High School,9,Yes,39,83,5,8,3
288,E0289,Support,40,Other,High School,20,No,44,71,9,4,3
289,E0290,Sales,38,Male,Bachelor,27,No,38,52,5,7,8
290,E0291,Sales,42,Other,Bachelor,10,Yes,31,55,2,6,8
291,E0292,Finance,35,Male,Master,33,No,34,64,0,2,7
292,E0293,Marketing,30,Other,Bachelor,7,Yes,35,76,6,8,4
293,E0294,Operations,22,Male,PhD,21,Yes,36,59,3,9,4
294,E0295,HR,34,Other,Bachelor,7,Yes,30,58,0,5,3
295,E0296,Marketing,25,Male,Bachelor,14,Yes,36,82,7,4,5
296,E0297,Finance,22,Female,Master,16,Yes,49,81,5,6,3
297,E0298,Finance,53,Female,Master,22,No,41,97,5,8,8
298,E0299,Marketing,55,Male,Bachelor,23,No,45,55,1,3,7
299,E0300,Finance,49,Other,Bachelor,18,No,45,90,0,1,3
300,E0301,Marketing,52,Male,Master,4,No,40,85,1,4,9
301,E0302,IT,29,Other,Bachelor,31,Yes,33,51,3,4,5
302,E0303,Marketing,47,Female,PhD,0,No,42,78,1,1,9
303,E0304,Support,55,Other,PhD,22,Yes,36,53,0,9,7
304,E0305,Marketing,24,Female,Master,7,Yes,33,50,6,3,7
305,E0306,Finance,33,Other,Bachelor,12,Yes,44,68,7,5,6
306,E0307,Support,22,Other,Master,7,Yes,48,75,5,6,2
307,E0308,Finance,26,Other,High School,22,Yes,38,74,3,8,9
308,E0309,Sales,51,Male,High School,0,Yes,40,59,5,6,6
309,E0310,Sales,51,Male,Bachelor,23,Yes,37,64,2,3,8
310,E0311,Support,38,Female,Bachelor,34,No,30,71,7,6,1
311,E0312,IT,44,Female,Master,23,Yes,37,97,9,1,5
312,E0313,Sales,36,Male,Master,16,Yes,42,70,1,4,1
313,E0314,Marketing,58,Female,Master,4,Yes,33,71,4,6,8
314,E0315,Finance,42,Male,Bachelor,19,No,37,85,0,7,8
315,E0316,Sales,35,Other,Bachelor,20,Yes,32,83,5,3,1
316,E0317,Sales,23,Female,Bachelor,30,Yes,38,79,1,9,9
317,E0318,IT,32,Female,PhD,10,Yes,31,74,3,7,2
318,E0319,Support,59,Male,High School,14,Yes,31,94,5,1,9
319,E0320,Support,55,Female,Master,18,Yes,42,77,9,2,1
320,E0321,Operations,59,Female,Bachelor,6,Yes,44,50,7,1,9
321,E0322,IT,55,Other,Bachelor,27,Yes,41,98,7,9,4
322,E0323,Marketing,39,Female,Master,4,Yes,33,94,5,9,9
323,E0324,Support,51,Other,Bachelor,4,Yes,37,53,3,7,7
324,E0325,Finance,36,Male,Master,29,No,38,56,7,3,6
325,E0326,IT,48,Female,Master,31,Yes,34,98,7,5,5
326,E0327,Sales,55,Other,Bachelor,7,Yes,49,58,9,4,9
327,E0328,Finance,59,Male,Bachelor,9,Yes,47,85,0,7,2
328,E0329,Finance,54,Female,Bachelor,31,No,40,68,3,9,2
329,E0330,Sales,45,Male,Master,27,Yes,44,50,3,2,9
330,E0331,IT,36,Female,Bachelor,16,Yes,38,59,6,8,3
331,E0332,Sales,51,Male,Bachelor,30,No,46,85,6,9,8
332,E0333,Operations,38,Male,Bachelor,7,Yes,41,58,7,9,9
333,E0334,Finance,26,Other,Master,24,Yes,36,94,4,7,8
334,E0335,HR,50,Male,Bachelor,8,Yes,39,95,6,9,4
335,E0336,HR,25,Female,Master,1,No,39,91,7,9,1
336,E0337,Marketing,31,Female,Master,14,Yes,42,81,8,3,4
337,E0338,Support,38,Other,Bachelor,2,No,48,81,2,4,9
338,E0339,Sales,31,Female,Bachelor,3,No,40,55,2,2,2
339,E0340,Sales,38,Female,PhD,13,Yes,42,97,3,3,3
340,E0341,Marketing,41,Female,Bachelor,24,Yes,37,87,4,5,8
341,E0342,Marketing,45,Male,Master,9,Yes,37,66,9,5,6
342,E0343,Marketing,26,Male,Bachelor,20,Yes,33,59,0,6,8
343,E0344,Finance,55,Female,Bachelor,11,Yes,44,99,6,7,7
344,E0345,Operations,27,Other,Master,26,No,40,76,8,7,5
345,E0346,Sales,23,Male,Bachelor,1,No,40,99,7,1,9
346,E0347,Finance,34,Other,Bachelor,12,No,30,84,4,2,4
347,E0348,Marketing,32,Female,Bachelor,31,Yes,46,70,3,9,6
348,E0349,Sales,44,Female,Bachelor,30,No,44,74,6,2,2
349,E0350,Finance,37,Male,Bachelor,15,No,49,77,4,6,2
350,E0351,Operations,52,Female,Bachelor,31,No,35,96,6,1,2
351,E0352,Finance,32,Male,PhD,31,Yes,44,64,0,3,7
352,E0353,Operations,37,Female,Bachelor,33,No,38,53,0,2,2
353,E0354,Marketing,29,Female,Master,10,Yes,43,78,9,3,2
354,E0355,Operations,25,Male,Bachelor,9,Yes,47,58,2,5,9
355,E0356,Sales,25,Male,Master,14,Yes,46,76,1,6,7
356,E0357,Marketing,46,Male,Bachelor,16,No,47,75,1,9,3
357,E0358,Sales,24,Female,PhD,17,No,34,68,6,4,3
358,E0359,HR,53,Female,Bachelor,8,Yes,49,77,9,7,7
359,E0360,IT,24,Other,Bachelor,24,Yes,49,66,1,6,5
360,E0361,Operations,48,Male,High School,13,Yes,38,92,3,2,6
361,E0362,IT,50,Female,Bachelor,24,Yes,40,90,1,8,8
362,E0363,IT,53,Female,Bachelor,21,Yes,30,91,5,7,9
363,E0364,Operations,40,Male,Bachelor,29,Yes,47,99,7,7,1
364,E0365,Marketing,42,Other,Master,19,No,35,69,9,8,3
365,E0366,HR,26,Male,Bachelor,20,Yes,31,94,3,1,7
366,E0367,Sales,39,Other,Bachelor,31,Yes,44,89,4,1,6
367,E0368,Finance,49,Female,Bachelor,20,Yes,43,88,3,8,7
368,E0369,Sales,43,Other,Master,34,No,34,98,2,4,8
369,E0370,Finance,42,Female,Bachelor,31,No,35,72,4,5,6
370,E0371,Sales,27,Male,Bachelor,29,No,35,96,8,8,3
371,E0372,Operations,22,Male,High School,11,Yes,47,81,7,5,2
372,E0373,HR,26,Male,Master,17,Yes,43,96,7,4,7
373,E0374,Finance,33,Other,Master,20,Yes,39,82,7,6,1
374,E0375,Support,47,Female,Bachelor,12,No,43,95,7,5,3
375,E0376,Marketing,55,Male,Master,20,No,42,54,6,7,4
376,E0377,Sales,35,Male,Master,7,No,32,92,7,7,1
377,E0378,Sales,47,Female,Bachelor,6,No,35,97,7,4,5
378,E0379,Finance,48,Male,Master,22,No,37,83,7,5,3
379,E0380,Marketing,30,Female,Bachelor,31,Yes,41,89,9,3,2
380,E0381,Marketing,47,Female,Bachelor,10,No,42,60,6,4,3
381,E0382,Operations,43,Female,Bachelor,21,Yes,40,99,0,4,8
382,E0383,Support,51,Female,High School,21,Yes,41,52,3,3,6
383,E0384,Operations,38,Female,Bachelor,24,Yes,30,82,3,5,7
384,E0385,Operations,47,Other,Master,21,Yes,46,60,4,5,6
385,E0386,Operations,57,Male,High School,27,Yes,45,65,9,7,6
386,E0387,Operations,22,Other,Bachelor,28,Yes,40,67,5,4,3
387,E0388,Operations,29,Male,Bachelor,12,Yes,42,79,3,4,8
388,E0389,HR,56,Other,Master,17,Yes,47,97,1,9,7
389,E0390,Marketing,36,Female,Bachelor,1,Yes,40,59,5,6,7
390,E0391,Operations,43,Male,Bachelor,28,Yes,41,67,7,4,6
391,E0392,Marketing,35,Male,High School,20,Yes,35,87,7,2,5
392,E0393,Marketing,47,Other,Bachelor,14,Yes,38,68,6,6,8
393,E0394,IT,49,Other,PhD,26,No,45,85,5,2,5
394,E0395,HR,44,Male,PhD,30,No,33,62,1,5,9
395,E0396,Operations,35,Other,High School,14,No,32,95,6,6,9
396,E0397,Sales,45,Other,PhD,22,No,45,52,4,4,1
397,E0398,Finance,23,Other,Bachelor,23,Yes,41,59,5,3,6
398,E0399,Support,47,Female,Master,12,No,40,87,9,7,7
399,E0400,Sales,35,Female,Bachelor,21,Yes,34,50,7,2,3
